"Hour", "The Lagragian multiplier",  "The penalty coefficient", "Profit of block and flexible hourly orders", "The associated acceptance ratios"
1, 20.81, 43.65, 97925.46, 1.0
2, 20.75, 43.65, 0.0, 0.0
3, 20.74, 43.65, 0.0, 0.0
4, 20.85, 43.65, 0.0, 0.0
5, 20.77, 43.65, 0.0, 0.0
6, 20.81, 43.65, 0.0, 0.0
7, 20.94, 43.65, 0.0, 0.0
8, 20.71, 43.65, 0.0, 0.0
9, 20.70, 43.65, 152779.71, 1.0
10, 20.60, 43.65, 99020.62, 1.0
11, 20.86, 43.65, 256215.95, 1.0
12, 20.75, 43.65, 0.0, 0.0
13,20.71, 43.65, 0.0, 0.0
14, 20.75, 43.65, 74472.95, 1.0
15, 20.82, 43.65, 0.0, 0.0
16, 20.77, 43.65, 0.0, 0.0
17, 20.80, 43.65, 0.0, 0.0
18, 20.99, 43.65, 0.0, 0.0
19, 20.82, 43.65, 0.0, 0.0
20, 20.81, 43.65, 735564.08, 1.0
21, 20.84, 43.65, 6144.14, 1.0
22, 20.93, 43.65, 9297.71, 1.0
23, 20.78, 43.65, 0.0, 0.0
24, 20.71, 43.65, 18279.80, 1.0
 , ,   ,       0.0, 0.0

